tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description
Version,,,,,,,,,,,,2.1
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies"
Resources,,overview,heading,,,,,,,,,General information about this resource
Resources,,pid,,1,TRUE,,,,,,,Persistent identifier for this resource
Resources,,name,,2,TRUE,,,,,,,Name of the resource
Resources,,acronym,,,,,,,,,,Resource acronym
Resources,,website,,,,,,,,,,Link to the website of this resource
Resources,,description,text,,,,,,,,,Short description of this resource
Resources,,keywords,text,,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description.
Resources,,externalIdentifiers,,,,,,,,,,"External identifier for this resource (e.g. EU PAS number, UMCG register number)"
Cohorts,Resources,,,,,,,,,,,Group of individuals sharing a defining demographic characteristic
Cohorts,,type,ref_array,,,UMCG,ResourceTypes,,,,,"Type of resource, e.g. registry, cohort, biobank"
Cohorts,,design,ref,,,UMCG,CohortDesigns,,,,,"The study design of this cohort, i.e. cross-sectional or longitudinal"
Cohorts,,collectionType,ref_array,,,UMCG,CollectionTypes,,,,,"The data collection type of this cohort, i.e. retrospective or prospective; if both, select both"
Resources,,institution,ref_array,,,UMCG,Institutions,,,,,Institution providing and/or coordinating access to this resource
Resources,,partners,refback,,,UMCG,Partners,,resource,,,Institutions that partnered in the creation of this resource
Cohorts,,networks,ref_array,,,UMCG,Networks,,cohorts,,,The consortia or networks that this cohort is involved in
Resources,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc."
Cohorts,,contactEmail,,,,,,,,,,Contact e-mail address for this cohort
Resources,,contributors,refback,,,,Contributions,,resource,,,Listing who is/has been involved in the creation and maintenance of this resource
Resources,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource
Resources,,numberOfParticipants,int,,,,,,,,,Total number of individuals for which data is collected
Resources,,numberOfParticipantsWithSamples,int,,,,,,,,,Number of individuals for which samples are collected
Resources,,countries,ontology_array,,,UMCG,Countries,,,,,Countries where data from this resource largely originate from
Resources,,regions,ontology_array,,,UMCG,Regions,,,,,Geographical regions where data from this resource largely originate from
Resources,,populationAgeGroups,ontology_array,,,UMCG,AgeGroups,,,,,Age groups of the participants of this resource
Cohorts,,inclusionCriteria,text,,,,,,,,,Other inclusion criteria applied to the participants of this resource
Resources,,startYear,int,,,,,,,,,Year when first data was collected
Resources,,endYear,int,,,,,,,,,Year when last data was collected. Leave empty if collection is ongoing
Cohorts,,subcohorts,refback,,,,Subcohorts,,resource,,,List of subcohorts or subpopulations for this resource
Resources,,contents,heading,,,,,,,,,Data model and contents
Cohorts,,collectionEvents,refback,,,,CollectionEvents,,resource,,,List of collection events defined for this resource
Cohorts,,access,heading,,,,,,,,,
Cohorts,,dataAccessConditions,ontology_array,,,UMCG,Conditions,,,,,Codes defining data access terms and use conditions
Cohorts,,dataAccessConditionsDescription,text,,,,,,,,,Description of data access terms and use conditions
Cohorts,,releaseType,ontology,,,UMCG,ReleaseTypes,,,,,"Select whether this resource is a closed dataset or whether new data is released continuously or at a termly basis"
Cohorts,,releaseDescription,text,,,,,,,,,Description of the release cycle of this resource
Cohorts,,linkageOptions,text,,,,,,,,,Linkage options with additional data sources that are available for this resource
Resources,,otherInformation,heading,,,,,,,,,Other information
Resources,,designPaper,ref,,,,Publications,,,,,Publication(s) that describe(s) the design of this resource
Resources,,documentation,refback,,,,Documentation,,resource,,,List of documentation available for this resource
Resources,,fundingStatement,text,,,,,,,,,Statement listing funding that was obtained for this resource
Resources,,acknowledgements,text,,,,,,,,,Acknowledgement statement and citation regulation for this resource
Publications,,,,,,,,,,,,Publications following bibtex format
Publications,,doi,,1,TRUE,,,,,,,Digital object identifier
Publications,,title,,,TRUE,,,,,,,Publication title
Partners,,,,,,,,,,,,Institutions that partnered in the creation of a resource
Partners,,resource,ref,1,TRUE,,Resources,,,,,Resource that is contributed to
Partners,,institution,ref,1,TRUE,UMCG,Institutions,,,,,institution that contributed
Partners,,department,text,,,,,,,,,"Optionally, the institutational unit(s) that play a role in this resource"
Partners,,role,ontology,,,UMCG,PartnerRoles,,,,,Role in this resource
Partners,,roleDescription,text,,,,,,,,,Description of the role in this resource
Contributions,,,,,,,,,,,,Persons that contributed to the creation of a resource
Contributions,,resource,ref,1,TRUE,,Resources,,,,,Resource person has contributed to
Contributions,,contact,ref,1,TRUE,,Contacts,,,,,Person who contributed to a resource
Contributions,,contributionType,ontology_array,,,UMCG,ContributionTypes,,,,,Type of the contribution
Contributions,,contributionDescription,text,,,,,,,,,Contribution description
Contacts,,,,,,,,,,,,
Contacts,,firstName,,1,TRUE,,,,,,,First name of the contact person
Contacts,,surname,,1,TRUE,,,,,,,Last name of the contact person
Contacts,,prefix,,,,,,,,,,"Surname prefix, if applicable"
Contacts,,initials,,,,,,,,,,Initials of the contact person
Contacts,,title,ref,,,UMCG,Titles,,,,,Title of the contact person
Contacts,,email,,2,,,,,,,,Contact's email address
Contacts,,homepage,,,,,,,,,,Link to contact's homepage
Documentation,,,,,,,,,,,,Documentation attached to a resource
Documentation,,resource,ref,1,TRUE,,Resources,,,,,The resource this documentation is for
Documentation,,name,,1,TRUE,,,,,,,Document name
Documentation,,description,text,,,,,,,,,Description of the document
Documentation,,url,,,,,,,,,,Hyperlink to the source of the documentation
Documentation,,file,file,,,,,,,,,Optional file attachment containing the documentation
CollectionEvents,,,,,,,,,,,,Definition of a data collection event for a resource
CollectionEvents,,resource,ref,1,TRUE,,Resources,,,,,Resource this collection event is part of
CollectionEvents,,name,,1,TRUE,,,,,,,Name of the collection event
CollectionEvents,,description,,,,,,,,,,Description of the collection event
CollectionEvents,,subcohorts,ref_array,,,,Subcohorts,resource,,,,Subcohorts that are targetted by this collection event
CollectionEvents,,startYear,ref,,,UMCG,Years,,,,,Start year of data collection
CollectionEvents,,startMonth,ref,,,UMCG,Months,,,,,Start month of data collection
CollectionEvents,,endYear,ref,,,UMCG,Years,,,,,End year of data collection. Leave empty if collection is ongoing
CollectionEvents,,endMonth,ref,,,UMCG,Months,,,,,End month of data collection. Leave empty if collection is ongoing
CollectionEvents,,ageGroups,ontology_array,,,UMCG,AgeGroups,,,,,Age groups included in this data collection event
CollectionEvents,,numberOfParticipants,int,,,,,,,,,Number of participants sampled in this data collection event
CollectionEvents,,areasOfInformation,ontology_array,,,UMCG,AreasOfInformation,,,,,Areas of information that were extracted in this data collection event
CollectionEvents,,dataCategories,ontology_array,,,UMCG,DataCategories,,,,,Methods of data collection used in this collection event
CollectionEvents,,sampleCategories,ontology_array,,,UMCG,SampleCategories,,,,,Samples that were collected in this collection even
CollectionEvents,,standardizedTools,ref_array,,,UMCG,StandardizedTools,,,,,"Standardized tools, e.g. surveys, questionnaires, instruments used to collect data for this collection event"
CollectionEvents,,standardizedToolsOther,,,,,,,,,,"If 'other', please specify"
Subcohorts,,,,,,,,,,,,Subcohorts defined for this resource
Subcohorts,,resource,ref,1,TRUE,,Resources,,,,,Resource this subcohort is part of
Subcohorts,,name,,1,TRUE,,,,,,,"Subcohort name, e.g. 'mothers in first trimester','newborns'"
Subcohorts,,description,text,,,,,,,,,Subcohort description
Subcohorts,,numberOfParticipants,int,,,,,,,,,Number of participants in this subcohort
Subcohorts,,inclusionStart,int,,,,,,,,,Year of first included participant
Subcohorts,,inclusionEnd,int,,,,,,,,,Year of last included participant. Leave empty if collection is ongoing
Subcohorts,,ageGroups,ontology_array,,,UMCG,AgeGroups,,,,,Age groups within this subcohort
Subcohorts,,mainMedicalCondition,ontology_array,,,UMCG,Diseases,,,,,"Disease groups within this subcohort, based on ICD-10 classification"
Subcohorts,,countries,ontology_array,,,UMCG,Countries,,,,,Countries where data from this subcohort largely originate from
Subcohorts,,regions,ontology_array,,,UMCG,Regions,,,,,Geographical regions where data from this subcohort largely originate from
Subcohorts,,inclusionCriteria,text,,,,,,,,,Other inclusion criteria applied to this subcohort
